speaker_id	audio_path	normalized_text	audio
833526fccd4a424b8c98bcba0a3f58033530c54a8583c2ceebc9590281b0a02d6cb92bc568d5fa6f24bb87c58d4c8424b10e465848e5f784c871e7158b1241b2	common_voice_ha_28552273.wav	bai kamata aliko ya kasance anan duk yammacin nan ba.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_28552273.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
ce307e95436d72dd4ee9226525b59f7b73097d61a1542bf34e81e2b38d1fc79224e66e980ffcab331e0deee6c15d594892877c1c1de8081b9a424e5603761a3c	common_voice_ha_28526865.wav	gaskiya laifuka na ƙaruwa a wurare da yawa a birnin mu.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_28526865.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
833526fccd4a424b8c98bcba0a3f58033530c54a8583c2ceebc9590281b0a02d6cb92bc568d5fa6f24bb87c58d4c8424b10e465848e5f784c871e7158b1241b2	common_voice_ha_30485335.wav	baki na ya bushe.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_30485335.wav', 'array': array([0.00000000e+00, 0.00000000e+00, 0.00000000e+00, ...,
       0.00000000e+00, 3.05175781e-05, 0.00000000e+00]), 'sampling_rate': 32000}}"
8ccc91ca052c604cf86fefd873946766c4635ea955459dbfa2eda8a4049ebc817c4e2cd76f180cef9b83790dcccada3822e977ff0eb3130261a8edb44041c36a	common_voice_ha_28554940.wav	yusuf ya bugu sosai.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_28554940.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
8ccc91ca052c604cf86fefd873946766c4635ea955459dbfa2eda8a4049ebc817c4e2cd76f180cef9b83790dcccada3822e977ff0eb3130261a8edb44041c36a	common_voice_ha_28650794.wav	ta taho tare da mahaifinta.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_28650794.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_28665406.wav	da kuma rage mutuwar jarirai a haihuwar gida.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_28665406.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
        0.00000000e+00,  0.00000000e+00, -3.05175781e-05]), 'sampling_rate': 32000}}"
15704a86f977d5f4ad029435fea9787b0c79b27ead693ddeb4d77e22d74806bebe1de10f28f8c63d93f0fcf0c8c866fe000fe9475799d789cf9e9512c39a38a3	common_voice_ha_35054788.wav	ina da bajo.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_35054788.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
833526fccd4a424b8c98bcba0a3f58033530c54a8583c2ceebc9590281b0a02d6cb92bc568d5fa6f24bb87c58d4c8424b10e465848e5f784c871e7158b1241b2	common_voice_ha_27789111.wav	gaskiya ya kamata ka daina shan taba.	{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_27789111.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 32000}}
15704a86f977d5f4ad029435fea9787b0c79b27ead693ddeb4d77e22d74806bebe1de10f28f8c63d93f0fcf0c8c866fe000fe9475799d789cf9e9512c39a38a3	common_voice_ha_35030235.wav	akalla dai kana iya fadawa hadiza cewa ba sai tayi hakan kuma.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_35030235.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
d924dee40049eb84b48a954fcd21dc0025e8b61c5ef201ac7ec768c37ed9d69f130197e4b914a340ff90fa16ea57871b2be87eb3da203d64cb016ce7ad8e3f7c	common_voice_ha_32853077.wav	aladun sun sha ado a bangaren shirin nazarin kimiyyar.	{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_32853077.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 32000}}
15704a86f977d5f4ad029435fea9787b0c79b27ead693ddeb4d77e22d74806bebe1de10f28f8c63d93f0fcf0c8c866fe000fe9475799d789cf9e9512c39a38a3	common_voice_ha_35055196.wav	akwai maki hudu masu mahimmanci: gabas, kudu, yamma da arewa.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_35055196.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
       -3.05175781e-05, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26807961.wav	mulkin bush da al-qaída duk abu ɗaya ne?	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_26807961.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
        0.00000000e+00, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26870444.wav	wannan makullin bai yi aiki ba.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_26870444.wav', 'array': array([ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
        0.00000000e+00, -3.05175781e-05, -3.05175781e-05]), 'sampling_rate': 32000}}"
f6eb0a9ba66e98eeec2c36585fdd0f17b29957d2d895dc4e69a8d398827434530b742a0420ec2cbe1dd98aeac419fcc3b0a6f79f6e77ca1257fe855dd7dda777	common_voice_ha_26807487.wav	idan ka sanya abin rufe fuska, tabbatar da amfani dashi daidai.	{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_26807487.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 32000}}
833526fccd4a424b8c98bcba0a3f58033530c54a8583c2ceebc9590281b0a02d6cb92bc568d5fa6f24bb87c58d4c8424b10e465848e5f784c871e7158b1241b2	common_voice_ha_30520436.wav	ina jin za mu kira ta.	"{'audio': {'path': '/content/drive/MyDrive/research bert/dataset_name/train/common_voice_ha_30520436.wav', 'array': array([0.00000000e+00, 0.00000000e+00, 0.00000000e+00, ...,
       6.10351562e-05, 9.15527344e-05, 6.10351562e-05]), 'sampling_rate': 32000}}"
